gene,contrast,delta_expression
Slamf6,Crypt IE - Crypt LP,-0.2656289388488883
Il7r,Crypt IE - Crypt LP,-0.5579108254928768
Tcf7,Crypt IE - Crypt LP,-0.5005516440584892
Il18r1,Crypt IE - Crypt LP,-0.26005891227730027
Ifng,Crypt IE - Crypt LP,0.04340005240789274
Ccr7,Crypt IE - Crypt LP,-0.39610484446212896
Gzma,Crypt IE - Crypt LP,0.2598425477625275
Gzmb,Crypt IE - Crypt LP,0.2077831190946311
Pdcd1,Crypt IE - Crypt LP,0.03904974685494417
Ifngr2,Crypt IE - Crypt LP,0.4244085259386875
Runx3,Crypt IE - Crypt LP,0.4453390690395529
Itgae,Crypt IE - Crypt LP,0.19147242891234478
Srebf2,Crypt IE - Crypt LP,0.39525753573202027
Il2rb,Crypt IE - Crypt LP,0.165765244982788
Cd69,Crypt IE - Crypt LP,-0.12726103918935094
Slamf6,Crypt IE - Muscularis,-0.7904487960856722
Il7r,Crypt IE - Muscularis,-0.06056000085903837
Tcf7,Crypt IE - Muscularis,-0.6289188775439954
Il18r1,Crypt IE - Muscularis,-0.29738187731128496
Ifng,Crypt IE - Muscularis,0.12912062543372999
Ccr7,Crypt IE - Muscularis,-0.6022754877311555
Gzma,Crypt IE - Muscularis,0.548480767303672
Gzmb,Crypt IE - Muscularis,0.19872584124380677
Pdcd1,Crypt IE - Muscularis,-0.49730722997967225
Ifngr2,Crypt IE - Muscularis,0.5321015874143079
Runx3,Crypt IE - Muscularis,0.5646510188325532
Itgae,Crypt IE - Muscularis,0.4447366655236337
Srebf2,Crypt IE - Muscularis,0.8715424324489833
Il2rb,Crypt IE - Muscularis,0.16671813013821934
Cd69,Crypt IE - Muscularis,-0.264720199694861
Slamf6,Crypt IE - Top IE,-0.03188113727194626
Il7r,Crypt IE - Top IE,-0.40495534361358954
Tcf7,Crypt IE - Top IE,-0.05436733167664719
Il18r1,Crypt IE - Top IE,0.1289837716798679
Ifng,Crypt IE - Top IE,0.1384951597181504
Ccr7,Crypt IE - Top IE,-0.019316192283329592
Gzma,Crypt IE - Top IE,-0.24010137170838508
Gzmb,Crypt IE - Top IE,0.1393632902532833
Pdcd1,Crypt IE - Top IE,0.1664236540374689
Ifngr2,Crypt IE - Top IE,-0.3271925617045064
Runx3,Crypt IE - Top IE,-0.08764662400358159
Itgae,Crypt IE - Top IE,-0.46118379036341545
Srebf2,Crypt IE - Top IE,0.05613358061071294
Il2rb,Crypt IE - Top IE,0.06810766930863155
Cd69,Crypt IE - Top IE,0.18917854155523042
Slamf6,Crypt IE - Top LP,-0.07835212262788555
Il7r,Crypt IE - Top LP,-0.5046731531318184
Tcf7,Crypt IE - Top LP,-0.5986237820325655
Il18r1,Crypt IE - Top LP,-0.11885880256990303
Ifng,Crypt IE - Top LP,0.08511661504876172
Ccr7,Crypt IE - Top LP,0.09947889823375679
Gzma,Crypt IE - Top LP,0.11451999164529447
Gzmb,Crypt IE - Top LP,0.4269739672399937
Pdcd1,Crypt IE - Top LP,0.20930570439674628
Ifngr2,Crypt IE - Top LP,0.3024121552995287
Runx3,Crypt IE - Top LP,-0.0030912864277213847
Itgae,Crypt IE - Top LP,-0.12281951592536738
Srebf2,Crypt IE - Top LP,0.1571825911851893
Il2rb,Crypt IE - Top LP,0.198457055080277
Cd69,Crypt IE - Top LP,0.1551395757970065
Slamf6,Crypt LP - Muscularis,-0.5248198572367839
Il7r,Crypt LP - Muscularis,0.49735082463383845
Tcf7,Crypt LP - Muscularis,-0.12836723348550627
Il18r1,Crypt LP - Muscularis,-0.037322965033984745
Ifng,Crypt LP - Muscularis,0.08572057302583724
Ccr7,Crypt LP - Muscularis,-0.2061706432690265
Gzma,Crypt LP - Muscularis,0.2886382195411445
Gzmb,Crypt LP - Muscularis,-0.00905727785082433
Pdcd1,Crypt LP - Muscularis,-0.5363569768346164
Ifngr2,Crypt LP - Muscularis,0.10769306147562038
Runx3,Crypt LP - Muscularis,0.1193119497930003
Itgae,Crypt LP - Muscularis,0.25326423661128894
Srebf2,Crypt LP - Muscularis,0.476284896716963
Il2rb,Crypt LP - Muscularis,0.0009528851554313489
Cd69,Crypt LP - Muscularis,-0.13745916050551005
Slamf6,Crypt LP - Top IE,0.23374780157694197
Il7r,Crypt LP - Top IE,0.1529554818792873
Tcf7,Crypt LP - Top IE,0.446184312381842
Il18r1,Crypt LP - Top IE,0.3890426839571681
Ifng,Crypt LP - Top IE,0.09509510731025766
Ccr7,Crypt LP - Top IE,0.37678865217879937
Gzma,Crypt LP - Top IE,-0.4999439194709126
Gzmb,Crypt LP - Top IE,-0.06841982884134779
Pdcd1,Crypt LP - Top IE,0.12737390718252473
Ifngr2,Crypt LP - Top IE,-0.7516010876431939
Runx3,Crypt LP - Top IE,-0.5329856930431345
Itgae,Crypt LP - Top IE,-0.6526562192757602
Srebf2,Crypt LP - Top IE,-0.33912395512130733
Il2rb,Crypt LP - Top IE,-0.09765757567415645
